run_at_utc,query,intent,priority,citation_rank,url,domain,title,is_client_domain,is_tracked_domain
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,1,"https://chayabraun.com/cake-smash-birthday-photos/#:~:text=Chaya%20Braun%20Photography%20is%20a%20premier%20baby,to%20read%20about%20Cake%20Smash%20Birthday%20Photos.",chayabraun.com,Cake Smash Birthday Photos - Chaya Braun Photography,false,false
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,2,"https://www.katrinaviancaphotography.com/#:~:text=Child%20and%20Family%20Photographer%20based%20in%20Howard,cherish%20forever.%20Cake%20smashes%2C%20family%2C%20milestone%20photography.",katrinaviancaphotography.com,"Katrina Vianca Photography: Family, Cake Smash, & Milestone ...",false,false
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,3,https://www.elishevakutner.com/post/a-1-year-old-cake-smash-session-with-baltimore-photographer,elishevakutner.com,1 Year Old Cake Smash Session | Elisheva Kutner | Baltimore MD,false,true
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,4,"https://sarahmichelephotography.com/baltimore-family-photographer-alvarez-cake-smash/#:~:text=Cake%20Smash%20birthday%20session%20captured%20in%20the,by%20Baltimore%20Family%20Photographer%20Sarah%20Michele%20Photography.",sarahmichelephotography.com,Baltimore Family Photographer | Alvarez Cake Smash,false,false
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,5,"https://www.elishevakutner.com/cakesmash#:~:text=Studio%20and%20In%2Dhome%20Cake,moment%20deserves%20to%20be%20captured.",elishevakutner.com,Cake Smash Photos | Baltimore Maryland Photography,false,true
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,6,"https://chayabraun.com/cake-smash-session-purple-and-gold/#:~:text=There's%20something%20absolutely%20extraordinary%20about,session%20%E2%80%94%20enjoy%20these%20sweet%20photos!",chayabraun.com,Cake Smash Session! - Chaya Braun Photography,false,false
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,7,"http://sweetblissphoto.com/cake-smash-1#:~:text=Sweet%20Bliss%20Photography%20in%20Abingdon%2C%20Maryland%20offers,birthday%20party%20*%20About%201.5%2D2%20months%20out",sweetblissphoto.com,"Maryland Newborn Photographer | Sweet Bliss Photography | Baltimore Family, child, Harford County - Cake Smash",false,false
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,8,https://www.instagram.com/reel/DIuSbiiS_9e/,instagram.com,"Photos by Elizabeth, LLC on Instagram: ""The fast one Smash ...",false,false
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,9,https://www.chelsiemaurerphotography.com/one-year-cake-smash-pricing,chelsiemaurerphotography.com,One Year | Cake Smash — Chelsie Maurer Photography,false,false
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,10,"https://mommyconnections.ca/regina/2020/11/16/cake-smash-time-what-to-expect-guest-blogger/#:~:text=If%20you%20are%20thinking%20about%20doing%20a,and%20ensures%20your%20needs%20can%20be%20met!",mommyconnections.ca,Cake Smash Time! What to Expect- Guest Blogger,false,false
2026-04-16T21:03:35.401452+00:00,baltimore cake smash photographer,bofu,high,11,https://www.instagram.com/reel/C92gnwJuXhS/,instagram.com,"🎂Year-in-Review Cake Smash🎂 Our most popular one year session for the last two years uses images from a child’s first year to create a backdrop for their cake smash! All of our one year/cake smash sessions include family portraits, individual images, the cake smash, and then a mini tub portion. For these particular sessions: 1️⃣ Clients send us about 100 images from their child’s first year. 2️⃣ We edit them into black and white and have them printed from our lab. 3️⃣ We attach them to the backdrop one at a time to create the sweetest glimpse into baby’s first year as a whole! Clients are often emotional when they walk in and see the culmination of so many sleepless nights and hard days and wonderful days and holidays and fun and exhaustion. AND they get to take them all home when we are finished. Photographers, have you tried these sessions yet? Clients, do you have a little one with a birthday this year?? Let’s get planning!!",false,false
2026-04-16T21:03:35.401452+00:00,best baby photographer near me baltimore,bofu,high,1,"https://kimwhipps.com/baltimore-newborn-photographer#:~:text=Baltimore%20newborn%20photographer%20SERVING%20Maryland,have%20it%20any%20other%20way.",kimwhipps.com,"Baltimore Newborn Photographer, Natural Family Photography",false,false
2026-04-16T21:03:35.401452+00:00,best baby photographer near me baltimore,bofu,high,2,"https://chayabraun.com/#:~:text=Baltimore%20Newborn%20Photography%2C%20Baby%20Photographer,beautiful%20artwork%20on%20their%20walls.",chayabraun.com,"Baltimore Newborn Photography, Baby Photographer - Chaya ...",false,false
2026-04-16T21:03:35.401452+00:00,best baby photographer near me baltimore,bofu,high,3,"https://www.elishevakutner.com/baltimore-md-photographer#:~:text=As%20a%20trusted%20Baltimore%20maternity,designed%20to%20enhance%20your%20home",elishevakutner.com,"Baltimore Maternity, Newborn and Baby Photographer",false,true
2026-04-16T21:03:35.401452+00:00,best baby photographer near me baltimore,bofu,high,4,"https://www.elishevakutner.com/baby#:~:text=Milestone%20and%20First%20Birthday%20Photography,and%20milestones%20as%20they%20grow.&text=Custom%20Session%20Design:%20Each%20session,included%20for%20cake%20smash%20sessions.",elishevakutner.com,Baltimore Baby Photographer | Studio & In-home Sessions,false,true
2026-04-16T21:03:35.401452+00:00,best baby photographer near me baltimore,bofu,high,5,https://kimwhipps.com/,kimwhipps.com,"Baltimore Family Photographer, Kim Whipps",false,false
2026-04-16T21:03:35.401452+00:00,best baby photographer near me baltimore,bofu,high,6,"https://jholseyphotography.com/baltimore-newborn-photographer#:~:text=Baltimore%20Newborn%20Photographer%20%7C%20J%20Holsey,convenience%20of%20a%20studio%20setting.",jholseyphotography.com,Baltimore Newborn Photographer - J Holsey Photography,false,false
2026-04-16T21:03:35.401452+00:00,best baby photographer near me baltimore,bofu,high,7,https://www.tashasojkaphotography.com/newbornphotography,tashasojkaphotography.com,"Newborn Photographer in Cockeysville, MD",false,false
2026-04-16T21:03:35.401452+00:00,best baby photographer near me baltimore,bofu,high,8,"https://rebeccawyattphotography.com/maryland-newborn-photography-sessions#:~:text=I%20also%20know%20you%20have,money%20will%20be%20well%20spent.&text=%2D%20exceptional%2C%20high%20quality%20print%20&,and%20wall%20gallery%20design%20services.",rebeccawyattphotography.com,Maryland Newborn Photographer - Rebecca Wyatt Photography,false,false
2026-04-16T21:03:35.401452+00:00,best baby photographer near me baltimore,bofu,high,9,"https://www.daninaphotography.com/newborn-photography-cost/#:~:text=On%20average%2C%20expect%20to%20spend,that%20go%20into%20creating%20them.",daninaphotography.com,Newborn Photography Cost - Transparent Pricing Guide,false,false
2026-04-16T21:03:35.401452+00:00,photographer for first birthday baltimore,bofu,medium,1,"https://wp.sugarloafphotographs.com/wild-one-first-birthday-cake-smash-baltimore-photographer/#:~:text=Sugarloaf%20Photography%20serves%20Bel%20Air,Sugarloaf%20Photography",wp.sugarloafphotographs.com,Wild One First Birthday Cake Smash - Baltimore Photographer,false,false
2026-04-16T21:03:35.401452+00:00,photographer for first birthday baltimore,bofu,medium,2,"https://chayabraun.com/cake-smash-birthday-photos/#:~:text=Chaya%20Braun%20Photography%20is%20a%20premier%20baby,to%20read%20about%20Cake%20Smash%20Birthday%20Photos.",chayabraun.com,Cake Smash Birthday Photos - Chaya Braun Photography,false,false
